ΕΠΙΚΡΑΤΕΙΑ;2 0 1 5;;;;;2 0 1 6;;;;
;ΕΓΚΛΗΜΑΤΑ;;;ΔΡΑΣΤΕΣ;;ΕΓΚΛΗΜΑΤΑ;;;ΔΡΑΣΤΕΣ;
;τελ/να;απόπειρες;εξιχνιάσεις;ημεδαποί;αλλοδαποί;τελ/να;απόπειρες;εξιχνιάσεις;ημεδαποί;αλλοδαποί
ΑΝΘΡΩΠΟΚΤΟΝΙΕΣ;86;169;210;262;93;81;132;183;169;95
ΑΠΑΤΕΣ;3,168;428;1,515;954;235;3,790;1,189;2,066;994;247
ΑΡΧΑΙΟΚΑΠΗΛΕΙΑ;83;2;71;106;6;155;19;174;161;22
ΒΙΑΣΜΟΙ;122;56;121;88;54;155;82;164;102;91
ΕΚΒΙΑΣΕΙΣ;136;24;118;226;46;135;23;89;100;55
ΕΠΑΙΤΕΙΑ;2,609;2;2,526;1,028;1,639;3,115;;2,987;1,384;1,814
ΖΩΟΚΛΟΠΗ;648;8;82;86;32;577;7;90;82;23
ΚΥΚΛΟΦΟΡΙΑ ΠΑΡΑΧΑΡΑΓΜΕΝΩΝ;6,476;2;1,129;1,060;153;7,076;2;1,660;1,534;151
ΛΑΘΡΕΜΠΟΡΙΟ;1,235;13;1,083;602;817;1,425;3;1,262;720;893
Ν περί ΝΑΡΚΩΤΙΚΩΝ;10,602;4;10,292;11,045;2,364;10,892;8;10,569;11,237;3,003
Ν περί ΟΠΛΩΝ;4,803;15;4,210;4,050;768;4,596;16;4,105;3,785;722
Ν περί ΠΝΕΥΜΑΤΙΚΗΣ ΙΔΙΟΚΤΗΣΙΑΣ;298;;284;184;138;272;2;262;230;42
ΠΛΑΣΤΟΓΡΑΦΙΑ;2,466;5;2,261;409;2,394;2,361;;2,151;463;2,199
ΣΕΞΟΥΑΛΙΚΗ ΕΚΜΕΤΑΛΛΕΥΣΗ;304;;297;219;333;175;;202;128;216
ΚΛΟΠΕΣ - ΔΙΑΡΡΗΞΕΙΣ;73,774;5,326;13,247;9,929;3,603;75,083;5,469;14,798;9,990;3,961
Κλοπές - Διαρρήξεις από ιχε αυτ/τα;15,341;1,463;1,641;946;326;16,766;1,541;1,813;1,063;422
Κλοπές - Διαρρήξεις ιερών ναών;364;65;224;138;47;276;68;149;113;26
Κλοπές - Διαρρήξεις καταστημάτων;8,687;852;3,043;2,537;970;9,191;907;3,474;2,626;1,084
Κλοπές - Διαρρήξεις λοιπές;12,722;499;3,285;3,190;700;11,795;436;3,186;2,797;679
Κλοπές - Διαρρήξεις οικιών;24,022;2,348;3,929;2,490;1,009;23,420;2,419;5,041;2,801;1,142
Κλοπές - Διαρρήξεις σε συγκοινωνιακά μέσα;3,653;16;168;25;162;3,941;13;201;45;182
Κλοπές με αρπαγές τσαντών;1,374;25;176;83;38;1,452;24;154;72;35
Κλοπές σε δημόσιο χώρο-μικροκλοπες;7,611;58;781;520;351;8,242;61;780;473;391
ΚΛΟΠΕΣ ΤΡΟΧΟΦΟΡΩΝ;26,524;673;8,259;1,572;406;26,180;720;8,543;1,405;451
Κλοπές Τροχοφόρων ΙΧΕ αυτ/των;11,347;375;3,177;475;162;11,395;430;3,581;453;148
Κλοπές Τροχοφόρων ΙΧΦ-Λεωφορείων;2,966;82;1,097;216;38;2,692;100;1,089;195;42
Κλοπές Τροχοφόρων Λοιπών οχημάτων;601;14;88;47;15;613;8;95;46;18
Κλοπές Τροχοφόρων Μοτοποδηλάτων;2,468;50;1,039;306;52;2,421;41;952;231;61
Κλοπές Τροχοφόρων Μοτοσυκλετών;9,142;152;2,858;528;139;9,059;141;2,826;480;182
ΛΗΣΤΕΙΕΣ;4,316;338;1,386;1,269;769;4,738;325;1,582;1,295;618
Ληστείες Δ.Ο.Υ.;;;;;;;;;;
Ληστείες εντός καταστημάτων;244;26;98;97;65;214;13;90;81;29
Ληστείες εντός οικιών;932;94;239;231;192;816;83;320;312;206
Ληστείες κινητών τηλεφώνων-μικροποσών;1,266;60;381;297;234;1,810;69;467;322;214
Ληστείες λοιπές;1,073;83;415;467;179;733;76;331;347;111
Ληστείες με αρπαγή τσάντας;327;34;87;53;14;501;41;165;92;13
Ληστείες οδηγών ταξί;93;1;18;14;3;173;9;61;43;3
Ληστείες πρατηρίων υγρών καυσίμων;81;6;21;19;7;91;5;28;16;9
Ληστείες σε ΕΛ.ΤΑ.;12;;6;14;2;19;;3;2;3
Ληστείες σε Μίνι Μάρκετ-κατ/τα ψιλικών;69;7;24;20;10;79;6;26;22;12
Ληστείες σε περίπτερα;59;12;32;17;14;105;9;24;18;3
Ληστείες σε πρακτορεία ΟΠΑΠ;42;;13;7;43;31;5;3;3;5
Ληστείες σούπερ μάρκετ;79;7;33;24;5;127;2;50;24;10
Ληστείες ταχυδρομικών διανομέων;8;1;3;2;1;4;3;1;2;0
Ληστείες τραπεζών,ταχ/κών ταμιευτηρίων;19;5;16;7;;14;2;12;8;0
Ληστείες χρηματαποστολών;12;2;;;;21;2;1;3;0
